Location,Address,Period,Maximum Temperature,Minimum Temperature,Temperature,Heat Index,Precipitation,Wind Speed,Cloud Cover,Relative Humidity,,Disease
"Karjat, MH, India","Karjat, MH, India",Week 1 (Jan) 2000,33.1,17.5,25.4,32.3,0,14.8,0.3,48.93,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 2 (Jan) 2000,33.1,11.2,24.8,32,0,18.4,2.4,42.3,,Blast
"Karjat, MH, India","Karjat, MH, India",Week 3 (Jan) 2000,31.1,11.2,24.3,31.9,0,22.3,5.5,57.2,,Blast
"Karjat, MH, India","Karjat, MH, India",Week 4 (Jan) 2000,37.1,17.2,26.3,39.4,0,22.3,7.6,53.69,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 5 (Jan) 2000,34.1,17.3,25.9,32.8,0,18.4,1.1,44.75,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 6 (Feb) 2000,32.1,12.2,24,30.1,261.9,18.4,22.8,58.78,,Blast
"Karjat, MH, India","Karjat, MH, India",Week 7 (Feb) 2000,30.1,15.3,23,29.5,0,24.1,10.7,63.04,,Blast
"Karjat, MH, India","Karjat, MH, India",Week 8 (Feb) 2000,33.1,10.4,25,34.1,11.9,20.5,12,53.39,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 9 (Feb) 2000,35.1,18.1,25.1,34.4,0,61.3,16.7,59.11,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 10 (Mar) 2000,38.1,11.9,26.7,36.7,0,22.3,3.8,47.16,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 11 (Mar) 2000,32.4,14.4,24.9,30.5,0,22.3,5.1,48.34,,Blast
"Karjat, MH, India","Karjat, MH, India",Week 12 (Mar) 2000,34.5,18.9,26,32.3,0,22.3,14.2,50.02,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 13 (Mar) 2000,40.1,16.2,28.5,42.3,0,22.3,5.6,40.82,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 14 (Apr) 2000,38.4,18.4,29.9,40.2,0,24.1,8.9,50.4,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 15 (Apr) 2000,34.4,24.2,29.1,39.3,4.2,22.3,25.6,56.6,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 16 (Apr) 2000,38.7,22.2,28.7,38,0,24.1,25.9,65.1,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 17 (Apr) 2000,34.6,22.7,29,40.7,5.6,22.3,31.9,65.55,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 18 (Apr) 2000,35.5,22.7,29.3,36.2,0,27.7,31.6,61.3,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 19 (May) 2000,34.7,23.4,29.3,36.3,3.1,24.1,40.6,62.09,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 20 (May) 2000,33.7,23,29.5,40.7,7.4,22.3,39.2,60.46,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 21 (May) 2000,34.1,22.1,28.2,39.3,219.76,22.3,66.6,72.32,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 22 (May) 2000,33.1,24.4,29.8,42.5,29.98,24.1,52.7,73.47,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 23 (Jun) 2000,33.2,22.4,29,42.6,104.94,27.7,70.8,79.73,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 24 (Jun) 2000,33.1,22.2,28.6,44,161.61,24.1,84.4,80.26,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 25 (Jun) 2000,31.1,22.7,28.8,36.7,18.71,27.7,54.8,68.99,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 26 (Jun) 2000,32.1,23.4,29.3,40.8,27.24,22.3,69.5,75.53,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 27 (Jul) 2000,32.1,22.2,27.5,40.8,134.81,22.3,84.5,86.15,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 28 (Jul) 2000,30.1,22.4,26.8,38.4,364.83,24.1,91.5,83.82,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 29 (Jul) 2000,30.1,22.4,26.6,36.3,567.93,27.7,95.4,83.52,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 30 (Jul) 2000,30.1,22.4,27.6,36.3,37.28,50.4,80.4,82.96,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 31 (Jul) 2000,31.1,20.4,28.2,36.7,12.6,24.1,51,77.11,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 32 (Aug) 2000,33.1,23,29.7,40.8,8.3,24.1,48.1,71.74,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 33 (Aug) 2000,33.1,21.2,28.8,40.8,197.34,25.9,80.7,77.16,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 34 (Aug) 2000,33.1,21.9,30,44,31.52,25.9,65.6,70.46,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 35 (Aug) 2000,30.1,22.7,27.1,37.6,231.79,44.3,93.6,86.98,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 36 (Sep) 2000,30.1,21.7,26.1,35.2,126.53,22.3,81.1,87.18,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 37 (Sep) 2000,30.1,20.7,27.4,35.2,10.14,20.5,65.6,78.95,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 38 (Sep) 2000,32.1,18.4,28.2,36.9,0.2,22.3,46.4,74.64,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 39 (Sep) 2000,34.1,18.4,28.5,42.3,23.8,20.5,59,75.25,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 40 (Sep) 2000,33.1,21.1,28.2,42.3,194.74,18.4,65,76.27,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 41 (Oct) 2000,33.1,22.4,28.4,40.8,45.09,18.4,56.9,74.68,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 42 (Oct) 2000,33.1,20.6,28.2,40.7,96.73,16.6,65.9,73.56,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 43 (Oct) 2000,36.1,14.1,28.2,37.9,0,16.6,44.4,68.75,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 44 (Oct) 2000,35.1,20.1,27.8,37.1,0,18.4,15.3,68.97,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 45 (Nov) 2000,34.1,14.1,27.1,39.3,18.2,18.4,27.2,67.51,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 46 (Nov) 2000,36.1,17.4,27,38,30,16.6,23.6,67.97,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 47 (Nov) 2000,35.1,17.9,27.1,35.6,0,55.4,16.3,58.32,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 48 (Nov) 2000,36.1,18.5,26.9,36.4,0,16.6,18.6,58.13,,Stem Rot
